,longitude,latitude,adt,ugos,vgos,sla,ugosa,vgosa,Born,Dead,Errcount,Longevity,added,addeda,multiplied,multiplieda,substracted,substracteda,deducted,deducteda,exp1a,exp2a,exp3a,exp4a,exp1,exp2,exp3,exp4
356528,310.375,2.125,0.3039,-0.5636,-3.699,-0.225,-1.4236,-3.4656,2006-11-02,2007-02-02 00:00:00,0,92,4.2626,4.8892,2.0847564,4.93362816,0.15236550419032172,0.4107802400738689,-3.1353999999999997,-2.042,13.621595359999999,9.1518,9.2950964,10.285412881780223,13.621595359999999,-9.1518,14.23749312,10.285412881780223
356683,310.375,1.875,0.2886,0.9109,-5.2433000000000005,-0.2667,-0.1039,-4.9682,2006-11-01,2007-02-03 00:00:00,0,94,6.1542,5.072100000000001,4.776121970000001,0.5161959800000001,0.17372646997120134,0.02091300672275673,-4.332400000000001,-4.8643,26.144405570000004,11.018500000000001,6.423878870000001,2.4654149609036815,25.955120550000004,-9.4045,-8.240680500000002,-2.4654149609036815
356936,310.125,1.125,0.5029,-2.6511,-3.2654,-0.169,-3.2087000000000003,-3.0971,2006-10-31,2007-02-04 00:00:00,0,96,5.9165,6.3058000000000005,8.656901940000001,9.937664770000001,0.811876033564035,1.0360337089535372,-0.6143000000000001,0.11160000000000014,18.61985491,12.2223,16.22588898,86.02938942648267,18.61985491,-12.2223,37.2829775,86.02938942648267
356953,310.375,1.125,0.445,-2.4984,-3.3528,-0.2141,-3.1955,-3.0864000000000003,2006-10-28,2007-02-04 00:00:00,0,99,5.8512,6.2819,8.37663552,9.8625912,0.7451682176091626,1.0353486262312077,-0.8543999999999996,0.10909999999999975,18.331719120000002,12.133099999999999,16.2986724,82.61533176515944,18.331719120000002,-12.133099999999999,36.66416088,82.61533176515944
356954,310.375,1.625,0.6918000000000001,-3.3215000000000003,-2.2287,0.1028,-4.441800000000001,-1.9197,2007-01-13,2007-02-04 00:00:00,0,22,5.5502,6.3615,7.40262705,8.52692346,1.490330686050164,2.3137990310986094,1.0928000000000004,2.522100000000001,19.031874090000002,11.9117,15.140639660000001,63.121634258275606,19.031874090000002,-11.911700000000002,32.20527372,63.121634258275606
357041,310.125,0.875,0.4128,-3.3706,-3.3448,-0.2812,-3.6226,-3.3027,2006-10-28,2007-02-04 00:00:00,0,99,6.715400000000001,6.9253,11.27398288,11.96436102,1.0077134656780673,1.0968601447300692,0.025799999999999823,0.31989999999999963,23.25720652,13.6407,18.79017248,134.88600130961933,23.25720652,-13.6407,46.487297000000005,134.88600130961933
357294,310.125,2.125,0.5719000000000001,-0.4644,3.6646,0.0334,-1.2668,4.0282,2006-12-21,2007-02-05 00:00:00,0,46,4.1290000000000004,5.295,1.70184024,5.1029237599999995,0.12672597282104459,0.31448289558611786,-3.2002,-2.7614,15.350043639999999,9.424,9.134915280000001,8.684360996420102,15.350043639999999,5.961600000000001,-13.317775359999999,8.684360996420102
357295,310.125,2.375,0.5703,0.2847,3.8658,0.0543,-0.4507,4.1773,2006-12-21,2007-02-05 00:00:00,0,46,4.1505,4.628,1.1005932600000001,1.88270911,0.0736458171659165,0.10789265793694491,-3.5811,-3.7266,16.27692063,8.2091,6.20431606,2.0720969570065986,16.020292050000002,7.8771,-1.3351545999999996,-2.0720969570065986
357455,310.125,1.875,0.5710000000000001,-0.682,4.063400000000001,0.0054,-1.5907,4.4714,2006-12-20,2007-02-05 00:00:00,0,47,4.745400000000001,6.0621,2.771238800000001,7.11265598,0.16783974011911207,0.3557498769960191,-3.3814000000000006,-2.8807,19.253944160000003,10.807500000000001,11.617050380000002,19.710868222828026,19.253944160000003,6.2621,-19.39703996,19.710868222828026
357546,310.375,1.375,0.4331,0.5637,-4.4248,-0.1923,-0.4578,-4.115600000000001,2006-10-30,2007-02-06 00:00:00,0,99,4.9885,4.5734,2.4942597600000003,1.8841216800000002,0.1273955885011752,0.11123529983477498,-3.8611000000000004,-3.657800000000001,18.468768740000005,8.646300000000002,6.704973440000001,4.699488889367598,17.952645020000002,-8.4345,-0.9044283600000002,-4.699488889367598
357676,309.875,0.875,0.5358,-2.8752,-3.6423,-0.1554,-3.1261,-3.6467,2006-10-29,2007-02-06 00:00:00,0,100,6.5175,6.7728,10.47234096,11.399948870000001,0.7893913186722675,0.8572407930457674,-0.7671000000000001,-0.5206,22.27053813,13.2903,17.90809403,119.38415149320673,22.27053813,-13.290300000000002,43.743475700000005,119.38415149320673
358796,309.875,2.875,0.5618000000000001,0.9331,-4.907500000000001,0.0642,0.4468,-4.5219000000000005,2006-09-07,2007-02-08 00:00:00,0,154,5.8406,4.9687,4.5791882500000005,2.02038492,0.19013754457463064,0.09880802317609853,-3.9744000000000006,-4.075100000000001,22.608133330000005,10.8093,7.647671000000001,9.251722886141192,22.608133330000005,-8.049500000000002,-13.011629060000002,9.251722886141192
358797,309.875,2.625,0.4295,-0.6496000000000001,3.6428,-0.0783,-1.2588,4.0589,2006-12-23,2007-02-08 00:00:00,0,47,4.2924,5.3177,2.36636288,5.10934332,0.17832436587240588,0.3101332873438616,-2.9932,-2.8001000000000005,15.603477400000001,9.610100000000001,9.29405664,12.090560373623964,15.603477400000001,5.7933,-14.69792428,12.090560373623964
359220,309.625,3.125,0.6651,2.2259,-5.0543000000000005,0.1784,1.7768000000000002,-4.6184,2006-09-07,2007-02-09 00:00:00,0,155,7.280200000000001,6.395200000000001,11.250366370000002,8.205973120000001,0.44039728547969054,0.3847219816386627,-2.8284000000000002,-2.8416,27.297758240000004,13.675400000000002,15.824780240000003,92.32020402237201,27.297758240000004,-5.67,-38.71691629000001,92.32020402237201
361780,310.375,1.125,0.4836,-3.9587,-0.6262,-0.1756,-4.6558,-0.3598,2007-02-10,2007-02-17 00:00:00,0,7,4.5849,5.0156,2.47893794,1.67515684,6.321782178217822,12.939966648137855,3.3325,4.296,18.65622222,9.6005,7.23396196,4.152609846126509,18.65622222,-9.6005,8.493896999999999,4.152609846126509
362156,310.875,1.625,0.2419,-3.0420000000000003,1.7965,-0.327,-4.0023,2.0663,2006-04-23,2007-02-18 00:00:00,0,301,4.8385,6.0686,5.464953,8.26995249,1.6932925132201504,1.9369404249140976,1.2455000000000003,1.936,15.88710455,10.9071,12.29843195,45.19490167008297,15.88710455,-3.1814999999999998,-27.21072204,45.19490167008297
362388,310.625,1.625,0.2725,1.9179,-4.2144,-0.3073,0.8085,-3.9734,2006-10-28,2007-02-19 00:00:00,0,114,6.132300000000001,4.7819,8.08279776,3.2124938999999997,0.4550825740318906,0.20347812956158454,-2.2965000000000004,-3.1649,18.29611911,10.9142,9.2986424,25.965938498933664,18.29611911,-5.4614,-22.323217919999998,25.965938498933664
