adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
0.6724,-0.116,-1.3057,-0.0277,-0.1573,-1.3953,1.4217000000000002,1.5526
0.6443,0.6927,-1.0818,-0.0558,0.6513,-1.1715,1.7745000000000002,1.8228
0.7559,0.071,0.9049,0.0548,0.0686,0.7782,0.9759,0.8468
0.6951,-0.864,-3.8523,0.1153,-1.9734,-3.6113,4.7163,5.5847
0.6960000000000001,0.4691,-0.9814,0.1627,0.4799,-1.1609,1.4505,1.6408
0.7617,0.0641,1.1527,0.0595,0.0616,0.9624,1.2168,1.024
0.8494,-0.0423,-0.9614,0.3102,-0.7468,-0.5711,1.0037,1.3179
0.249,-0.3385,-0.4835,0.0841,0.0312,-0.5258,0.8220000000000001,0.557
0.1863,-0.1468,0.5765,0.1192,0.009,0.4806,0.7233,0.4896
0.7533000000000001,1.059,4.4572,0.2141,0.3545,4.8476,5.5162,5.2021
0.417,1.9667,3.9145,-0.172,0.8464,4.2236,5.8812,5.07
0.1628,-0.3603,0.3375,0.1445,-0.2744,0.393,0.6978,0.6674
0.2311,-3.1897,-0.7986000000000001,-0.3487,-4.2992,-0.5576,3.9883,4.8568
0.6206,1.2555,-0.6547000000000001,0.0869,1.2911,-0.7952,1.9102,2.0863
0.3853,1.203,3.6556,-0.1539,0.4985,4.0459000000000005,4.8586,4.5444
0.7313000000000001,0.2645,0.3432,0.0312,0.2232,0.2535,0.6077,0.4767
0.4639,0.4233,-0.4356,-0.2259,0.3743,-0.472,0.8589,0.8463
0.7072,1.3507,-5.051200000000001,0.1912,0.6153000000000001,-4.7397,6.4019,5.355
0.4378,-0.5231,-5.0827,-0.0941,-0.8232,-4.6791,5.6058,5.5023
0.9617,0.2252,4.0158000000000005,0.3727,-0.8951,4.324800000000001,4.2410000000000005,5.219900000000001
0.6925,-0.5475,0.3711,-0.0086,-0.55,0.2444,0.9186,0.7944
0.3537,0.9859,-1.7426,-0.3474,0.9817,-1.8557,2.7285,2.8374
0.7986000000000001,-0.4635,0.6423,0.0985,-0.5048,0.5527000000000001,1.1058,1.0575
-0.035,-0.283,-0.3288,0.0279,-0.2348,-0.2517,0.6117999999999999,0.4865
